index,S:all,I:all,beta:all,k:all,sto:all,rep:all,phi:all,log_like
0,0.70388,1e-05,0.1,80,0.1,1,0.1,-21789.268122
1,0.704362,1.01008e-05,0.0986581,79.8375,0.1,1,0.1,-17579.260681
2,0.704362,1.01008e-05,0.0986581,79.8375,0.1,1,0.1,-17579.260681
3,0.711356,1.00966e-05,0.0965116,79.8734,0.1,1,0.1,-16815.206496
4,0.711356,1.00966e-05,0.0965116,79.8734,0.1,1,0.1,-16815.206496
5,0.71555,1.01701e-05,0.0942268,79.5743,0.1,1,0.1,-16520.098943
6,0.71555,1.01701e-05,0.0942268,79.5743,0.1,1,0.1,-16520.098943
7,0.730459,1.02003e-05,0.0914512,79.4348,0.1,1,0.1,-16166.735121
8,0.730459,1.02003e-05,0.0914512,79.4348,0.1,1,0.1,-16166.735121
9,0.742465,1.04829e-05,0.0860019,78.7985,0.1,1,0.1,-15926.607387
10,0.742465,1.04829e-05,0.0860019,78.7985,0.1,1,0.1,-15926.607387
11,0.771271,1.06682e-05,0.0775756,78.4098,0.1,1,0.1,-15640.547811
12,0.771271,1.06682e-05,0.0775756,78.4098,0.1,1,0.1,-15640.547811
13,0.800112,1.11628e-05,0.0662764,77.1657,0.1,1,0.1,-15395.144006
14,0.800112,1.11628e-05,0.0662764,77.1657,0.1,1,0.1,-15395.144006
15,0.849623,1.16612e-05,0.052498,76.0055,0.1,1,0.1,-15128.434503
16,0.849623,1.16612e-05,0.052498,76.0055,0.1,1,0.1,-15128.434503
17,0.894066,1.30418e-05,0.0357134,73.7887,0.1,1,0.1,-14867.273546
18,0.894066,1.30418e-05,0.0357134,73.7887,0.1,1,0.1,-14867.273546
19,0.93903,1.48367e-05,0.0191375,72.0741,0.1,1,0.1,-14405.598335
20,0.93903,1.48367e-05,0.0191375,72.0741,0.1,1,0.1,-14405.598335
21,0.961457,1.88174e-05,0.00704972,70.5622,0.1,1,0.1,-10994.536954
22,0.961457,1.88174e-05,0.00704972,70.5622,0.1,1,0.1,-10994.536954
23,0.961457,1.88174e-05,0.00704972,70.5622,0.1,1,0.1,-10994.536954
24,0.961457,1.88174e-05,0.00704972,70.5622,0.1,1,0.1,-10994.536954
25,0.961457,1.88174e-05,0.00704972,70.5622,0.1,1,0.1,-10994.536954
26,0.961457,1.88174e-05,0.00704972,70.5622,0.1,1,0.1,-10994.536954
27,0.961457,1.88174e-05,0.00704972,70.5622,0.1,1,0.1,-10994.536954
28,0.962059,1.87143e-05,0.00700641,70.5672,0.1,1,0.1,-10971.345690
29,0.964644,1.99274e-05,0.00522952,70.3989,0.1,1,0.1,-10510.991441
30,0.964644,1.99274e-05,0.00522952,70.3989,0.1,1,0.1,-10510.991441
31,0.964585,1.97371e-05,0.00531719,70.417,0.1,1,0.1,-10477.291946
32,0.964585,1.97371e-05,0.00531719,70.417,0.1,1,0.1,-10477.291946
33,0.964585,1.97371e-05,0.00531719,70.417,0.1,1,0.1,-10477.291946
34,0.964585,1.97371e-05,0.00531719,70.417,0.1,1,0.1,-10477.291946
35,0.963841,1.937e-05,0.00586696,70.4656,0.1,1,0.1,-10447.280740
36,0.963963,1.94188e-05,0.00578193,70.4595,0.1,1,0.1,-10433.905162
37,0.963963,1.94188e-05,0.00578193,70.4595,0.1,1,0.1,-10433.905162
38,0.963963,1.94188e-05,0.00578193,70.4595,0.1,1,0.1,-10433.905162
39,0.963963,1.94188e-05,0.00578193,70.4595,0.1,1,0.1,-10433.905162
40,0.963963,1.94188e-05,0.00578193,70.4595,0.1,1,0.1,-10433.905162
41,0.964081,1.94732e-05,0.00570748,70.4514,0.1,1,0.1,-10427.901692
42,0.964081,1.94732e-05,0.00570748,70.4514,0.1,1,0.1,-10427.901692
43,0.964081,1.94732e-05,0.00570748,70.4514,0.1,1,0.1,-10427.901692
44,0.964081,1.94732e-05,0.00570748,70.4514,0.1,1,0.1,-10427.901692
45,0.964081,1.94732e-05,0.00570748,70.4514,0.1,1,0.1,-10427.901692
46,0.964081,1.94732e-05,0.00570748,70.4514,0.1,1,0.1,-10427.901692
47,0.964082,1.95677e-05,0.00563546,70.4414,0.1,1,0.1,-10427.757374
48,0.964068,1.95426e-05,0.00565375,70.4442,0.1,1,0.1,-10427.228970
49,0.964068,1.95426e-05,0.00565375,70.4442,0.1,1,0.1,-10427.228970
50,0.964068,1.95426e-05,0.00565375,70.4442,0.1,1,0.1,-10427.228970
51,0.964102,1.94989e-05,0.00568015,70.4485,0.1,1,0.1,-10427.155257
52,0.964102,1.94989e-05,0.00568015,70.4485,0.1,1,0.1,-10427.155257
53,0.964102,1.94989e-05,0.00568015,70.4485,0.1,1,0.1,-10427.155257
54,0.963979,1.95454e-05,0.00568187,70.445,0.1,1,0.1,-10427.147819
55,0.964059,1.95174e-05,0.00567811,70.4471,0.1,1,0.1,-10427.124121
56,0.964059,1.9535e-05,0.00566403,70.4451,0.1,1,0.1,-10427.100515
57,0.964053,1.95359e-05,0.00566659,70.4451,0.1,1,0.1,-10427.086008
58,0.963973,1.9568e-05,0.00566515,70.4427,0.1,1,0.1,-10427.085224
59,0.963973,1.9568e-05,0.00566515,70.4427,0.1,1,0.1,-10427.085224
60,0.963973,1.9568e-05,0.00566515,70.4427,0.1,1,0.1,-10427.085224
61,0.963973,1.9568e-05,0.00566515,70.4427,0.1,1,0.1,-10427.085224
62,0.964014,1.95498e-05,0.00566763,70.4441,0.1,1,0.1,-10427.078586
63,0.964,1.955e-05,0.00567198,70.4443,0.1,1,0.1,-10427.075400
64,0.963913,1.95775e-05,0.00567507,70.4424,0.1,1,0.1,-10427.073980
65,0.963908,1.95914e-05,0.00566699,70.441,0.1,1,0.1,-10427.069298
66,0.963908,1.95914e-05,0.00566699,70.441,0.1,1,0.1,-10427.069298
67,0.963908,1.95914e-05,0.00566699,70.441,0.1,1,0.1,-10427.069298
68,0.963731,1.96466e-05,0.00567431,70.4374,0.1,1,0.1,-10427.043029
69,0.963731,1.96466e-05,0.00567431,70.4374,0.1,1,0.1,-10427.043029
70,0.963589,1.97059e-05,0.00566937,70.4328,0.1,1,0.1,-10427.029996
71,0.963589,1.97059e-05,0.00566937,70.4328,0.1,1,0.1,-10427.029996
72,0.963257,1.98154e-05,0.00567467,70.4253,0.1,1,0.1,-10426.985772
73,0.963257,1.98154e-05,0.00567467,70.4253,0.1,1,0.1,-10426.985772
74,0.963257,1.98154e-05,0.00567467,70.4253,0.1,1,0.1,-10426.985772
75,0.96272,1.99893e-05,0.00567846,70.4135,0.1,1,0.1,-10426.931706
76,0.96272,1.99893e-05,0.00567846,70.4135,0.1,1,0.1,-10426.931706
77,0.961723,2.02755e-05,0.0056886,70.3951,0.1,1,0.1,-10426.853894
78,0.961723,2.02755e-05,0.0056886,70.3951,0.1,1,0.1,-10426.853894
79,0.96013,2.06984e-05,0.00568722,70.369,0.1,1,0.1,-10426.811816
80,0.958847,2.09678e-05,0.00570685,70.3542,0.1,1,0.1,-10426.700875
81,0.958847,2.09678e-05,0.00570685,70.3542,0.1,1,0.1,-10426.700875
82,0.953523,2.18942e-05,0.00573362,70.3074,0.1,1,0.1,-10426.631281
83,0.953523,2.18942e-05,0.00573362,70.3074,0.1,1,0.1,-10426.631281
84,0.951787,2.21165e-05,0.00575575,70.2978,0.1,1,0.1,-10426.604469
85,0.951787,2.21165e-05,0.00575575,70.2978,0.1,1,0.1,-10426.604469
86,0.951787,2.21165e-05,0.00575575,70.2978,0.1,1,0.1,-10426.604469
87,0.951787,2.21165e-05,0.00575575,70.2978,0.1,1,0.1,-10426.604469
88,0.951787,2.21165e-05,0.00575575,70.2978,0.1,1,0.1,-10426.604469
89,0.95295,2.19684e-05,0.00574231,70.3042,0.1,1,0.1,-10426.602031
90,0.95295,2.19684e-05,0.00574231,70.3042,0.1,1,0.1,-10426.602031
91,0.950651,2.22663e-05,0.00575938,70.2912,0.1,1,0.1,-10426.597827
92,0.950651,2.22663e-05,0.00575938,70.2912,0.1,1,0.1,-10426.597827
93,0.950651,2.22663e-05,0.00575938,70.2912,0.1,1,0.1,-10426.597827
94,0.950651,2.22663e-05,0.00575938,70.2912,0.1,1,0.1,-10426.597827
95,0.950651,2.22663e-05,0.00575938,70.2912,0.1,1,0.1,-10426.597827
96,0.95124,2.2194e-05,0.00575476,70.2943,0.1,1,0.1,-10426.597241
97,0.95124,2.2194e-05,0.00575476,70.2943,0.1,1,0.1,-10426.597241
98,0.952109,2.20789e-05,0.00575063,70.2994,0.1,1,0.1,-10426.597193
99,0.951713,2.21308e-05,0.00575323,70.2971,0.1,1,0.1,-10426.596962
100,0.95126,2.219e-05,0.00575555,70.2945,0.1,1,0.1,-10426.596798
101,0.95126,2.219e-05,0.00575555,70.2945,0.1,1,0.1,-10426.596798
102,0.951503,2.21594e-05,0.00575367,70.2958,0.1,1,0.1,-10426.596693
103,0.951503,2.21594e-05,0.00575367,70.2958,0.1,1,0.1,-10426.596693
104,0.951503,2.21594e-05,0.00575367,70.2958,0.1,1,0.1,-10426.596693
105,0.951697,2.2134e-05,0.00575264,70.2969,0.1,1,0.1,-10426.596662
106,0.951697,2.2134e-05,0.00575264,70.2969,0.1,1,0.1,-10426.596662
107,0.951697,2.2134e-05,0.00575264,70.2969,0.1,1,0.1,-10426.596662
108,0.951697,2.2134e-05,0.00575264,70.2969,0.1,1,0.1,-10426.596662
109,0.951697,2.2134e-05,0.00575264,70.2969,0.1,1,0.1,-10426.596662
110,0.951697,2.2134e-05,0.00575264,70.2969,0.1,1,0.1,-10426.596662
111,0.951685,2.21353e-05,0.00575295,70.2969,0.1,1,0.1,-10426.596647
112,0.951685,2.21353e-05,0.00575295,70.2969,0.1,1,0.1,-10426.596647
113,0.951683,2.2136e-05,0.00575262,70.2968,0.1,1,0.1,-10426.596611
114,0.951683,2.2136e-05,0.00575262,70.2968,0.1,1,0.1,-10426.596611
115,0.951617,2.21441e-05,0.00575345,70.2965,0.1,1,0.1,-10426.596581
116,0.951617,2.21441e-05,0.00575345,70.2965,0.1,1,0.1,-10426.596581
117,0.951773,2.2124e-05,0.00575235,70.2973,0.1,1,0.1,-10426.596527
118,0.951554,2.2153e-05,0.00575344,70.2961,0.1,1,0.1,-10426.596437
119,0.951554,2.2153e-05,0.00575344,70.2961,0.1,1,0.1,-10426.596437
120,0.951709,2.21324e-05,0.00575312,70.297,0.1,1,0.1,-10426.596370
121,0.951909,2.21074e-05,0.00575123,70.298,0.1,1,0.1,-10426.596174
122,0.951699,2.21351e-05,0.00575257,70.2968,0.1,1,0.1,-10426.595888
123,0.951511,2.21598e-05,0.00575393,70.2957,0.1,1,0.1,-10426.595587
124,0.95201,2.20949e-05,0.00575126,70.2985,0.1,1,0.1,-10426.595354
125,0.951931,2.21081e-05,0.00575051,70.2978,0.1,1,0.1,-10426.594791
126,0.951548,2.21586e-05,0.00575375,70.2956,0.1,1,0.1,-10426.593510
127,0.951856,2.21208e-05,0.00575194,70.2971,0.1,1,0.1,-10426.592169
128,0.951856,2.21208e-05,0.00575194,70.2971,0.1,1,0.1,-10426.592169
129,0.951599,2.21619e-05,0.00575197,70.295,0.1,1,0.1,-10426.590123
130,0.951509,2.2176e-05,0.00575459,70.2942,0.1,1,0.1,-10426.586287
131,0.952242,2.20879e-05,0.00574872,70.2976,0.1,1,0.1,-10426.582859
132,0.952242,2.20879e-05,0.00574872,70.2976,0.1,1,0.1,-10426.582859
133,0.951387,2.22216e-05,0.00575294,70.2908,0.1,1,0.1,-10426.573425
134,0.951746,2.21842e-05,0.0057536,70.2919,0.1,1,0.1,-10426.564206
135,0.951746,2.21842e-05,0.0057536,70.2919,0.1,1,0.1,-10426.564206
136,0.952559,2.21115e-05,0.00574628,70.2933,0.1,1,0.1,-10426.546612
137,0.95121,2.23378e-05,0.00575463,70.2814,0.1,1,0.1,-10426.521950
138,0.95121,2.23378e-05,0.00575463,70.2814,0.1,1,0.1,-10426.521950
139,0.952092,2.22751e-05,0.00575295,70.2814,0.1,1,0.1,-10426.489300
140,0.952652,2.23085e-05,0.00574517,70.275,0.1,1,0.1,-10426.436220
141,0.952652,2.23085e-05,0.00574517,70.275,0.1,1,0.1,-10426.436220
142,0.950998,2.26661e-05,0.00575702,70.255,0.1,1,0.1,-10426.369104
143,0.953042,2.25906e-05,0.00574815,70.2492,0.1,1,0.1,-10426.260065
144,0.953042,2.25906e-05,0.00574815,70.2492,0.1,1,0.1,-10426.260065
145,0.953401,2.28423e-05,0.00574048,70.2286,0.1,1,0.1,-10426.139406
146,0.951899,2.35179e-05,0.00575609,70.1921,0.1,1,0.1,-10425.951383
147,0.955459,2.34269e-05,0.0057317,70.1808,0.1,1,0.1,-10425.768894
148,0.955459,2.34269e-05,0.0057317,70.1808,0.1,1,0.1,-10425.768894
149,0.955623,2.47986e-05,0.00572887,70.1192,0.1,1,0.1,-10425.422557
150,0.956526,2.57853e-05,0.00573547,70.0869,0.1,1,0.1,-10425.147856
151,0.956526,2.57853e-05,0.00573547,70.0869,0.1,1,0.1,-10425.147856
152,0.959596,2.76141e-05,0.00570335,70.0467,0.1,1,0.1,-10424.900657
153,0.961169,3.11229e-05,0.00569589,70.0171,0.1,1,0.1,-10424.646741
154,0.963741,3.30014e-05,0.00567689,70.0092,0.1,1,0.1,-10424.568052
155,0.963665,3.85217e-05,0.00568597,70.0024,0.1,1,0.1,-10424.404300
156,0.963665,3.85217e-05,0.00568597,70.0024,0.1,1,0.1,-10424.404300
157,0.963665,3.85217e-05,0.00568597,70.0024,0.1,1,0.1,-10424.404300
158,0.963665,3.85217e-05,0.00568597,70.0024,0.1,1,0.1,-10424.404300
159,0.963665,3.85217e-05,0.00568597,70.0024,0.1,1,0.1,-10424.404300
160,0.966519,5.59206e-05,0.00567022,70,0.1,1,0.1,-10424.259710
161,0.966519,5.59206e-05,0.00567022,70,0.1,1,0.1,-10424.259710
162,0.966519,5.59206e-05,0.00567022,70,0.1,1,0.1,-10424.259710
163,0.966497,5.56941e-05,0.00567061,70,0.1,1,0.1,-10424.259634
164,0.966497,5.56941e-05,0.00567061,70,0.1,1,0.1,-10424.259634
165,0.966497,5.56941e-05,0.00567061,70,0.1,1,0.1,-10424.259634
166,0.966497,5.56941e-05,0.00567061,70,0.1,1,0.1,-10424.259634
167,0.966497,5.56941e-05,0.00567061,70,0.1,1,0.1,-10424.259634
168,0.966497,5.56941e-05,0.00567061,70,0.1,1,0.1,-10424.259634
169,0.966497,5.56941e-05,0.00567061,70,0.1,1,0.1,-10424.259634
170,0.966497,5.56941e-05,0.00567061,70,0.1,1,0.1,-10424.259634
171,0.966497,5.56941e-05,0.00567061,70,0.1,1,0.1,-10424.259634
172,0.966497,5.56941e-05,0.00567061,70,0.1,1,0.1,-10424.259634
173,0.966638,5.76116e-05,0.00566962,70,0.1,1,0.1,-10424.253436
174,0.966638,5.76116e-05,0.00566962,70,0.1,1,0.1,-10424.253436
175,0.966638,5.76116e-05,0.00566962,70,0.1,1,0.1,-10424.253436
176,0.966638,5.76116e-05,0.00566962,70,0.1,1,0.1,-10424.253436
177,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
178,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
179,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
180,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
181,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
182,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
183,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
184,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
185,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
186,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
187,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
188,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
189,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
190,0.966621,5.83818e-05,0.00567141,70,0.1,1,0.1,-10424.248269
191,0.966624,5.85162e-05,0.00567143,70,0.1,1,0.1,-10424.247977
192,0.966624,5.85162e-05,0.00567143,70,0.1,1,0.1,-10424.247977
193,0.966624,5.85162e-05,0.00567143,70,0.1,1,0.1,-10424.247977
194,0.966624,5.85162e-05,0.00567143,70,0.1,1,0.1,-10424.247977
195,0.966604,5.85074e-05,0.00567204,70,0.1,1,0.1,-10424.247864
196,0.966604,5.85074e-05,0.00567204,70,0.1,1,0.1,-10424.247864
197,0.966604,5.85074e-05,0.00567204,70,0.1,1,0.1,-10424.247864
198,0.966617,5.8514e-05,0.00567172,70,0.1,1,0.1,-10424.247775
199,0.966617,5.8514e-05,0.00567172,70,0.1,1,0.1,-10424.247775
200,0.966617,5.8514e-05,0.00567172,70,0.1,1,0.1,-10424.247775
201,0.966617,5.8514e-05,0.00567172,70,0.1,1,0.1,-10424.247775
202,0.966617,5.8514e-05,0.00567172,70,0.1,1,0.1,-10424.247775
203,0.966617,5.8514e-05,0.00567172,70,0.1,1,0.1,-10424.247775
204,0.966617,5.8514e-05,0.00567172,70,0.1,1,0.1,-10424.247775
205,0.966617,5.8514e-05,0.00567172,70,0.1,1,0.1,-10424.247775
206,0.966606,5.8512e-05,0.00567207,70,0.1,1,0.1,-10424.247758
207,0.966606,5.8512e-05,0.00567207,70,0.1,1,0.1,-10424.247758
208,0.966606,5.8512e-05,0.00567207,70,0.1,1,0.1,-10424.247758
209,0.966611,5.85161e-05,0.00567207,70,0.1,1,0.1,-10424.247562
210,0.966611,5.85161e-05,0.00567207,70,0.1,1,0.1,-10424.247562
211,0.966611,5.85161e-05,0.00567207,70,0.1,1,0.1,-10424.247562
212,0.966611,5.85161e-05,0.00567207,70,0.1,1,0.1,-10424.247562
213,0.966611,5.85161e-05,0.00567207,70,0.1,1,0.1,-10424.247562
214,0.966611,5.85133e-05,0.00567225,70,0.1,1,0.1,-10424.247359
215,0.966611,5.85133e-05,0.00567225,70,0.1,1,0.1,-10424.247359
216,0.966611,5.85133e-05,0.00567225,70,0.1,1,0.1,-10424.247359
217,0.966625,5.85044e-05,0.00567189,70,0.1,1,0.1,-10424.247226
218,0.96663,5.84971e-05,0.0056719,70,0.1,1,0.1,-10424.246985
219,0.96664,5.85018e-05,0.00567188,70,0.1,1,0.1,-10424.246579
220,0.96664,5.85018e-05,0.00567188,70,0.1,1,0.1,-10424.246579
221,0.966674,5.84729e-05,0.0056713,70,0.1,1,0.1,-10424.246032
222,0.966683,5.84671e-05,0.00567159,70,0.1,1,0.1,-10424.245223
223,0.966683,5.84671e-05,0.00567159,70,0.1,1,0.1,-10424.245223
224,0.966746,5.8443e-05,0.00567058,70,0.1,1,0.1,-10424.244157
225,0.966807,5.83876e-05,0.00566999,70,0.1,1,0.1,-10424.242647
226,0.96684,5.83814e-05,0.00567016,70,0.1,1,0.1,-10424.240739
227,0.96684,5.83814e-05,0.00567016,70,0.1,1,0.1,-10424.240739
228,0.967055,5.82505e-05,0.0056671,70,0.1,1,0.1,-10424.238766
229,0.967159,5.81542e-05,0.0056665,70,0.1,1,0.1,-10424.235199
230,0.967159,5.81542e-05,0.0056665,70,0.1,1,0.1,-10424.235199
231,0.967414,5.79959e-05,0.00566358,70,0.1,1,0.1,-10424.233324
232,0.967414,5.79959e-05,0.00566358,70,0.1,1,0.1,-10424.233324
233,0.967547,5.78757e-05,0.00566219,70,0.1,1,0.1,-10424.232457
234,0.967547,5.78757e-05,0.00566219,70,0.1,1,0.1,-10424.232457
235,0.967628,5.77864e-05,0.00566157,70,0.1,1,0.1,-10424.230693
236,0.967681,5.77718e-05,0.00566103,70,0.1,1,0.1,-10424.230396
237,0.967681,5.77718e-05,0.00566103,70,0.1,1,0.1,-10424.230396
238,0.967815,5.76029e-05,0.00566011,70,0.1,1,0.1,-10424.226914
239,0.967773,5.76391e-05,0.00566132,70,0.1,1,0.1,-10424.222260
240,0.967773,5.76391e-05,0.00566132,70,0.1,1,0.1,-10424.222260
241,0.967773,5.76391e-05,0.00566132,70,0.1,1,0.1,-10424.222260
242,0.968138,5.71979e-05,0.00565862,70,0.1,1,0.1,-10424.213630
243,0.968138,5.71979e-05,0.00565862,70,0.1,1,0.1,-10424.213630
244,0.967824,5.75274e-05,0.00566409,70,0.1,1,0.1,-10424.208537
245,0.968126,5.71103e-05,0.00566158,70,0.1,1,0.1,-10424.200572
246,0.968236,5.69028e-05,0.00566336,70,0.1,1,0.1,-10424.192938
247,0.968757,5.60695e-05,0.00565834,70,0.1,1,0.1,-10424.178754
248,0.968757,5.60695e-05,0.00565834,70,0.1,1,0.1,-10424.178754
249,0.96913,5.49532e-05,0.00565808,70,0.1,1,0.1,-10424.164035
250,0.96913,5.49532e-05,0.00565808,70,0.1,1,0.1,-10424.164035
251,0.969539,5.32679e-05,0.00565504,70,0.1,1,0.1,-10424.152078
252,0.969539,5.32679e-05,0.00565504,70,0.1,1,0.1,-10424.152078
253,0.969837,5.0195e-05,0.00565211,70,0.1,1,0.1,-10424.147364
254,0.969837,5.0195e-05,0.00565211,70,0.1,1,0.1,-10424.147364
255,0.969837,5.0195e-05,0.00565211,70,0.1,1,0.1,-10424.147364
256,0.969925,4.80279e-05,0.00565249,70,0.1,1,0.1,-10424.144134
257,0.969925,4.80279e-05,0.00565249,70,0.1,1,0.1,-10424.144134
