index,time,S:city1__all,S:city2__all,I:city1__all,I:city2__all,obs_mean:all__CDC__inc,obs_mean:all__google__inc,obs_mean:city2__CDC__inc,obs_mean:city1__CDC__prev,obs_real:all__CDC__inc,obs_real:all__google__inc,obs_real:city2__CDC__inc,obs_real:city1__CDC__prev
0,1,70240.9,70240.9,12.9151,12.9151,8.7034,8.7034,6.10074,7.74904,6.02051,10.0251,5.00718,4.34917
0,2,70485.5,70471.4,12.635,21.3577,11.4372,11.4372,10.1081,7.58099,9.21079,13.0159,8.06047,7.31333
0,3,70713.3,70677.1,22.1973,41.1014,21.2694,21.2694,19.4864,13.3184,24.0874,25.4517,26.1856,13.3066
0,4,70941.2,70885.6,28.9271,53.5317,27.6707,27.6707,25.4236,17.3562,38.9461,30.2049,22.5818,17.8304
0,5,71162.1,71081,37.8052,69.9009,36.0971,36.0971,33.2521,22.6831,22.5232,34.4376,23.885,22.0812
0,6,71373.5,71259.2,49.5442,91.4933,47.212,47.212,43.5894,29.7265,40.9399,47.1056,51.7692,26.5004
0,7,71572.3,71414.5,65.0984,120.011,61.8982,61.8982,57.2528,39.0591,63.9038,65.0196,49.609,26.75
0,8,71754.6,71539.7,85.744,157.699,81.3282,81.3282,75.3185,51.4464,79.8445,95.0657,88.897,65.9565
0,9,70555,65835.1,615.272,2365.21,1022.35,1022.35,1086.22,369.163,1179.66,920.067,1060.73,400.08
0,10,70740.5,59928.9,529.428,4842.94,1903.75,1903.75,2124.21,317.657,1905.89,1613.26,1847.95,263.655
0,11,70952.9,51961.6,448.664,7442.3,2930.64,2930.64,3018.81,269.198,3317.75,2351.5,2965.1,218.777
0,12,70919,42213.2,500.285,9595.39,3978.36,3978.36,3418.5,300.171,4512.48,4420.58,3436.12,256.069
0,13,70594.2,33358.6,677.027,9974.34,4430.61,4430.61,2997.03,406.216,4243.54,4432.01,3188.54,473.465
0,14,69634,27864.9,1133.38,8616.73,4158.21,4158.21,2230.49,680.03,4110.73,3903.24,1778.17,768.17
0,15,68425.6,25277.3,1613.41,6410.87,3413.27,3413.27,1510.97,968.047,3696.82,3765.18,1599.89,1016.07
0,16,66827.8,23183.4,2156.61,4782.26,2910.37,2910.37,1037.27,1293.97,2476.6,3331.25,973.219,1187.66
0,17,65140,22324.4,2606.85,3295.09,2408.84,2408.84,685.159,1564.11,2648.75,2393.75,688.116,1779.53
0,18,62037.4,21862.9,3603.91,2225.97,2291.6,2291.6,451.307,2162.35,2491.82,2572.29,401.933,2620.64
0,19,58245.3,21566.9,4629.61,1447.45,2334.22,2334.22,288.482,2777.77,2326.42,2271.03,291.35,2811.22
0,20,55363.3,21389.3,4920.06,937.723,2237,2237,184.905,2952.04,2483.99,2084.8,204.943,3285.03
0,21,51361.1,21303.8,5533.13,608.384,2361.27,2361.27,119.276,3319.88,2630,2390.96,124.607,3296.41
0,22,47719.9,21240.3,5671.31,386.375,2361.42,2361.42,75.4376,3402.79,2308.57,2500.56,73.7906,2665.93
0,23,45060.9,21219.6,5229.38,240.36,2160.34,2160.34,46.8414,3137.63,2012.06,2446.35,51.3541,3293.39
0,24,41439.4,21279.1,5226.8,150.586,2167.15,2167.15,29.3987,3136.08,2244.13,2349.4,27.3112,3308.5
0,25,38559.1,21361.6,4834.72,90.7424,2020.37,2020.37,17.7673,2900.83,2188.33,2096.69,20.799,2309.85
0,26,36868.2,21548.3,4005.76,57.6817,1685.88,1685.88,11.3764,2403.46,1309.23,1503.68,10.9993,2190.17
0,27,35950.7,21749.3,3169.32,35.0473,1338.17,1338.17,6.96669,1901.59,1235.46,1220.17,7.08418,2078.8
0,28,34729.5,21966.6,2711.82,21.5814,1150.88,1150.88,4.32634,1627.09,1169.05,1034.04,3.69353,1803.82
0,29,33872.7,22197.4,2243.28,12.8124,955.552,955.552,2.59141,1345.97,908.666,956.302,1.8416,1206.35
0,30,33445.8,22450,1712.59,7.3902,730.842,730.842,1.50923,1027.55,696.515,784.116,2.46897,959.926
0,31,33096,22721.1,1337.73,5.72168,572.38,572.38,1.18052,802.639,587.725,499.599,1.74798,792.292
0,32,32953.6,22991.7,1004.78,3.8764,430.272,430.272,0.807898,602.871,419.328,404.1,0.595544,534.193
0,33,32892.9,23255.7,740.82,1.96352,317.036,317.036,0.413214,444.492,340.002,314.239,0,461.232
0,34,32876,23516.1,585.532,0.958625,250.376,250.376,0.203654,351.319,235.847,294.146,0.674008,276.784
0,35,32903.8,23791.9,429.835,1.57956,184.19,184.19,0.338901,257.901,176.152,162.216,0.122835,291.21
0,36,32999.6,24052.6,341.853,0.846875,146.223,146.223,0.183382,205.112,166.518,179.571,0.317148,203.168
0,37,33131.3,24313.1,266.491,0.426497,113.792,113.792,0.0931966,159.895,121.789,107.612,0.412929,156.216
0,38,33256.7,24580.9,195.499,0.205472,83.3663,83.3663,0.0453151,117.3,84.0042,80.5269,0.173842,138.576
0,39,33441,24844.1,158.564,0.0963108,67.5047,67.5047,0.0214314,95.1383,69.2312,80.1078,0.0107193,103.85
0,40,33628.9,25108.7,121.776,0.0449164,51.7676,51.7676,0.0100841,73.0654,35.2207,55.4906,0.0531538,56.6106
0,41,33767.1,25380.2,77.0196,0.0199579,32.7094,32.7094,0.00452124,46.2118,39.7862,31.8036,0.0503034,49.1014
0,42,34024.3,25640.6,65.4986,0.00959501,27.7665,27.7665,0.00219225,39.2992,28.6903,27.0212,0.0112574,38.027
0,43,34248.9,25904.7,49.4934,0.00439108,20.9496,20.9496,0.00101187,29.696,18.9513,20.4952,0,31.6139
0,44,34486.4,26168.1,39.9457,0.00195819,16.8813,16.8813,0.000455053,23.9674,12.8286,13.7054,0,26.5268
0,45,34717.5,26432.1,32.6498,0.000805085,13.7768,13.7768,0.000188654,19.5899,12.1067,15.4619,0.00380384,22.0241
0,46,34962.2,26695.2,26.4085,0.000350935,11.1252,11.1252,8.29112e-05,15.8451,9.12605,8.71569,0.002996,12.7977
0,47,35178.7,26960.9,16.668,0.000134464,7.01188,7.01188,3.20292e-05,10.0008,4.80262,4.84656,0,13.7368
0,48,35441.4,27222.7,17.4329,5.26549e-05,7.32097,7.32097,1.26427e-05,10.4597,5.7925,9.26485,0,12.0071
0,49,35689.8,27485.7,14.1273,2.10106e-05,5.92312,5.92312,5.08483e-06,8.47635,5.47172,5.86074,0,12.01
0,50,35945.2,27748.1,13.1542,7.99433e-06,5.5059,5.5059,1.94989e-06,7.8925,5.06401,1.89489,0.000922706,7.65818
0,51,36174,28012.8,8.49429,2.23526e-06,3.55012,3.55012,5.49457e-07,5.09657,2.82743,1.26503,0.000636041,3.71099
0,52,36415.1,28276.5,5.05784,6.22354e-07,2.11055,2.11055,1.5416e-07,3.03471,1.85681,1.63063,0,3.333
